pwm250	speed
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	250
1	250
3	250
2	250
1	250
1	250
1	250
0	250
1	250
1	250
1	250
2	250
1	250
3	250
2	250
4	250
3	250
3	250
3	250
2	250
2	250
1	250
1	250
1	250
1	250
2	250
3	250
2	250
3	250
3	250
3	250
4	250
3	250
3	250
4	250
3	250
4	250
3	250
4	250
3	250
3	250
2	250
3	250
3	250
3	250
4	250
3	250
4	250
4	250
4	250
5	250
4	250
5	250
4	250
4	250
4	250
4	250
3	250
3	250
4	250
4	250
4	250
5	250
4	250
5	250
5	250
5	250
4	250
5	250
4	250
5	250
4	250
6	250
5	250
6	250
5	250
5	250
5	250
5	250
6	250
5	250
6	250
5	250
6	250
6	250
5	250
6	250
6	250
6	250
5	250
6	250
6	250
6	250
7	250
7	250
6	250
6	250
6	250
7	250
6	250
7	250
7	250
7	250
6	250
7	250
7	250
7	250
8	250
7	250
7	250
7	250
8	250
7	250
8	250
7	250
8	250
7	250
8	250
8	250
7	250
8	250
8	250
8	250
7	250
7	250
9	250
8	250
9	250
8	250
8	250
8	250
9	250
8	250
9	250
8	250
9	250
9	250
8	250
9	250
9	250
9	250
9	250
8	250
9	250
10	250
9	250
9	250
9	250
10	250
9	250
9	250
8	250
9	250
10	250
10	250
10	250
10	250
10	250
10	250
10	250
10	250
10	250
9	250
9	250
10	250
10	250
10	250
10	250
10	250
11	250
11	250
10	250
11	250
10	250
11	250
10	250
11	250
11	250
11	250
10	250
11	250
11	250
10	250
11	250
11	250
12	250
10	250
12	250
11	250
11	250
11	250
12	250
11	250
11	250
12	250
12	250
12	250
11	250
12	250
12	250
11	250
12	250
12	250
11	250
12	250
12	250
13	250
11	250
13	250
11	250
12	250
13	250
12	250
13	250
12	250
13	250
12	250
13	250
13	250
13	250
12	250
13	250
13	250
11	250
13	250
14	250
12	250
13	250
14	250
13	250
14	250
13	250
14	250
14	250
13	250
12	250
13	250
14	250
13	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
14	250
15	250
14	250
15	250
15	250
13	250
14	250
16	250
14	250
15	250
15	250
14	250
16	250
15	250
15	250
15	250
15	250
16	250
15	250
15	250
16	250
14	250
15	250
16	250
16	250
15	250
15	250
15	250
16	250
15	250
15	250
15	250
15	250
15	250
16	250
16	250
15	250
15	250
16	250
15	250
15	250
16	250
16	250
16	250
16	250
16	250
16	250
16	250
17	250
16	250
17	250
15	250
16	250
16	250
16	250
16	250
16	250
16	250
17	250
16	250
17	250
15	250
