enc	speed
0	150
0	150
1	150
1	150
1	150
1	150
1	150
1	150
1	150
2	150
1	150
1	150
1	150
2	150
1	150
1	150
1	150
2	150
1	150
2	150
1	150
1	150
2	150
2	150
1	150
2	150
3	150
2	150
2	150
3	150
2	150
3	150
2	150
2	150
2	150
2	150
1	150
1	150
2	150
2	150
1	150
2	150
2	150
2	150
2	150
2	150
2	150
2	150
2	150
3	150
2	150
2	150
2	150
3	150
2	150
3	150
2	150
2	150
2	150
2	150
3	150
2	150
3	150
2	150
2	150
3	150
3	150
2	150
3	150
3	150
3	150
3	150
3	150
3	150
3	150
2	150
3	150
3	150
3	150
3	150
3	150
4	150
3	150
3	150
4	150
3	150
3	150
4	150
3	150
3	150
4	150
3	150
4	150
4	150
4	150
4	150
4	150
4	150
4	150
4	150
4	150
4	150
3	150
4	150
4	150
4	150
4	150
4	150
4	150
3	150
4	150
4	150
4	150
3	150
5	150
4	150
4	150
5	150
4	150
4	150
4	150
5	150
4	150
5	150
4	150
5	150
4	150
5	150
4	150
5	150
4	150
5	150
5	150
5	150
4	150
5	150
4	150
5	150
5	150
5	150
5	150
5	150
5	150
5	150
5	150
5	150
4	150
5	150
5	150
6	150
5	150
6	150
5	150
5	150
5	150
5	150
6	150
5	150
6	150
5	150
5	150
5	150
5	150
5	150
6	150
6	150
6	150
5	150
6	150
5	150
6	150
5	150
6	150
6	150
6	150
6	150
6	150
6	150
6	150
7	150
5	150
7	150
6	150
6	150
7	150
7	150
6	150
6	150
7	150
6	150
6	150
7	150
6	150
6	150
6	150
6	150
7	150
7	150
7	150
6	150
7	150
6	150
6	150
7	150
7	150
7	150
7	150
6	150
7	150
7	150
7	150
7	150
8	150
7	150
7	150
7	150
7	150
8	150
7	150
7	150
8	150
7	150
7	150
7	150
6	150
7	150
8	150
7	150
8	150
7	150
7	150
8	150
7	150
8	150
8	150
8	150
8	150
7	150
8	150
8	150
8	150
8	150
8	150
7	150
8	150
8	150
7	150
8	150
8	150
8	150
8	150
7	150
8	150
8	150
8	150
8	150
8	150
8	150
9	150
8	150
8	150
8	150
9	150
8	150
8	150
8	150
8	150
8	150
9	150
9	150
8	150
9	150
8	150
9	150
9	150
8	150
8	150
9	150
9	150
8	150
9	150
9	150
8	150
9	150
9	150
9	150
9	150
9	150
9	150
8	150
9	150
9	150
9	150
8	150
9	150
9	150
10	150
9	150
9	150
8	150
9	150
9	150
9	150
10	150
8	150
10	150
8	150
9	150
9	150
9	150
9	150
9	150
9	150
10	150
9	150
9	150
10	150
9	150
9	150
9	150
9	150
10	150
9	150
9	150
10	150
9	150
9	150
9	150
10	150
9	150
10	150
9	150
9	150
10	150
9	150
10	150
9	150
9	150
10	150
10	150
10	150
9	150
10	150
10	150
9	150
10	150
10	150
10	150
10	150
9	150
10	150
10	150
10	150
9	150
11	150
9	150
10	150
10	150
10	150
10	150
10	150
9	150
11	150
10	150
10	150
9	150
11	150
10	150
10	150
9	150
11	150
10	150
10	150
10	150
10	150
10	150
10	150
10	150
11	150
10	150
10	150
10	150
11	150
10	150
11	150
10	150
11	150
10	150
10	150
10	150
11	150
11	150
10	150
11	150
11	150
11	150
10	150
12	150
11	150
10	150
10	150
11	150
11	150
11	150
11	150
10	150
12	150
11	150
11	150
11	150
11	150
11	150
12	150
11	150
10	150
11	150
10	150
12	150
10	150
11	150
11	150
13	150
11	150
11	150
12	150
11	150
12	150
10	150
11	150
10	150
11	150
11	150
11	150
11	150
11	150
12	150
11	150
12	150
11	150
12	150
11	150
11	150
12	150
10	150
11	150
12	150
12	150
11	150
11	150
12	150
11	150
11	150
12	150
12	150
11	150
12	150
11	150
12	150
11	150
12	150
12	150
11	150
12	150
12	150
11	150
11	150
13	150
12	150
12	150
11	150
12	150
12	150
12	150
11	150
12	150
11	150
12	150
12	150
11	150
12	150
12	150
12	150
12	150
12	150
11	150
11	150
12	150
12	150
12	150
12	150
12	150
11	150
12	150
12	150
12	150
11	150
12	150
12	150
11	150
12	150
13	150
11	150
12	150
12	150
12	150
12	150
12	150
12	150
12	150
12	150
12	150
11	150
13	150
12	150
12	150
12	150
13	150
11	150
12	150
13	150
12	150
11	150
13	150
12	150
12	150
12	150
13	150
12	150
12	150
13	150
12	150
12	150
13	150
12	150
12	150
12	150
13	150
12	150
12	150
13	150
13	150
11	150
14	150
12	150
12	150
13	150
13	150
12	150
14	150
12	150
12	150
12	150
12	150
13	150
12	150
13	150
13	150
12	150
13	150
13	150
12	150
13	150
13	150
11	150
13	150
12	150
14	150
12	150
13	150
13	150
13	150
13	150
14	150
13	150
13	150
12	150
12	150
13	150
14	150
12	150
13	150
13	150
12	150
13	150
14	150
13	150
13	150
12	150
12	150
13	150
13	150
13	150
13	150
13	150
13	150
13	150
13	150
13	150
13	150
12	150
13	150
13	150
13	150
13	150
14	150
13	150
13	150
12	150
13	150
14	150
13	150
14	150
13	150
13	150
13	150
13	150
12	150
13	150
13	150
13	150
13	150
13	150
14	150
13	150
13	150
12	150
13	150
14	150
13	150
13	150
13	150
12	150
13	150
13	150
13	150
12	150
13	150
13	150
12	150
14	150
13	150
14	150
13	150
13	150
13	150
14	150
13	150
13	150
13	150
13	150
14	150
13	150
13	150
13	150
14	150
12	150
13	150
14	150
13	150
13	150
14	150
13	150
13	150
13	150
13	150
13	150
14	150
12	150
13	150
14	150
13	150
13	150
14	150
13	150
12	150
14	150
13	150
12	150
15	150
13	150
13	150
15	150
13	150
14	150
14	150
13	150
12	150
14	150
14	150
12	150
14	150
14	150
14	150
14	150
13	150
14	150
13	150
13	150
12	150
14	150
14	150
13	150
13	150
14	150
14	150
14	150
14	150
14	150
13	150
13	150
13	150
13	150
14	150
13	150
13	150
14	150
14	150
13	150
14	150
14	150
13	150
14	150
13	150
13	150
15	150
13	150
13	150
14	150
14	150
13	150
14	150
14	150
14	150
13	150
14	150
14	150
14	150
13	150
14	150
13	150
13	150
14	150
14	150
14	150
13	150
14	150
14	150
13	150
14	150
13	150
14	150
13	150
13	150
14	150
14	150
14	150
13	150
13	150
14	150
13	150
14	150
13	150
13	150
14	150
14	150
13	150
13	150
14	150
14	150
14	150
14	150
13	150
14	150
14	150
13	150
14	150
14	150
13	150
14	150
14	150
13	150
14	150
14	150
13	150
15	150
13	150
13	150
15	150
13	150
13	150
15	150
13	150
13	150
14	150
14	150
14	150
14	150
14	150
13	150
15	150
14	150
13	150
14	150
13	150
14	150
14	150
13	150
15	150
13	150
14	150
15	150
14	150
14	150
15	150
13	150
13	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
15	150
14	150
13	150
13	150
14	150
14	150
14	150
14	150
15	150
14	150
14	150
15	150
14	150
14	150
13	150
14	150
14	150
14	150
13	150
15	150
14	150
14	150
14	150
15	150
14	150
13	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
15	150
14	150
14	150
14	150
14	150
14	150
15	150
14	150
13	150
14	150
13	150
14	150
15	150
14	150
15	150
13	150
15	150
14	150
14	150
14	150
14	150
13	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
13	150
14	150
15	150
13	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
15	150
14	150
14	150
14	150
13	150
15	150
14	150
13	150
15	150
14	150
13	150
15	150
14	150
14	150
15	150
13	150
14	150
15	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
14	150
15	150
14	150
13	150
15	150
15	150
14	150
14	150
15	150
15	150
14	150
13	150
14	150
14	150
14	150
15	150
14	150
14	150
15	150
15	150
14	150
14	150
14	150
13	150
14	150
15	150
13	150
14	150
15	150
15	150
15	150
15	150
14	150
14	150
13	150
14	150
15	150
14	150
14	150
15	150
14	150
14	150
15	150
15	150
